Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,KiLib_Generator,Sim.Pins
"C1, C2",2,C_US,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,,,smt,"capacitor, US symbol",SMD_2terminal_chip_molded,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D7, D8, D9",68,~,Diode_SOD-123,,,,smt,,,
D69,1,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,,,,smt,Light emitting diode,SMD_2terminal_chip_molded,1=K 2=A
"J1, J2",2,USB_C_Receptacle_USB2.0_14P,USB_C_918-418K2024S40000,,,,tht,USB 2.0-only 14P Type-C Receptacle connector,,
"J3, J4",2,USB3_A,USB3_A_Molex_48393-001,,,,tht,USB 3.0 A connector,,
"R1, R2, R3, R4",4,Resistor,Resistor_0402,,,,smt,Resistor,,
"S1, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19, S2, S20, S21, S22, S23, S24, S25, S26, S27, S28, S29, S3, S30, S31, S32, S33, S34, S35, S36, S37, S38, S39, S4, S40, S41, S42, S43, S44, S45, S46, S47, S48, S49, S5, S50, S51, S52, S53, S54, S55, S56, S57, S58, S59, S6, S60, S61, S62, S63, S64, S65, S66, S67, S68, S7, S8, S9",68,~,Hotswap_MX,,,,smt,,,
U1,1,TUSB2046BVF,VF32,,,,smt,,,
U2,1,~,Adafruit_KB2040_SMD,,,,tht,,,
Y1,1,Crystal_GND23,Crystal_SMD_7050-4Pin_7.0x5.0mm,,,,smt,"Four pin crystal, GND on pins 2 and 3",,
