pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
209.91,-125.57,-90.0,top,C1,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C_US,smt
212.72,-122.1,90.0,top,C2,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C_US,smt
98.641326,-51.173962,75.0,top,D1,,,Diode_SOD-123,~,smt
286.268492,-51.893805,105.0,top,D10,,,Diode_SOD-123,~,smt
305.810381,-51.704543,105.0,top,D11,,,Diode_SOD-123,~,smt
324.211268,-46.77404,105.0,top,D12,,,Diode_SOD-123,~,smt
93.710823,-69.574849,75.0,top,D13,,,Diode_SOD-123,~,smt
112.11171,-74.505352,75.0,top,D14,,,Diode_SOD-123,~,smt
131.653599,-74.694616,75.0,top,D15,,,Diode_SOD-123,~,smt
150.653238,-77.197363,75.0,top,D16,,,Diode_SOD-123,~,smt
168.358781,-84.529739,75.0,top,D17,,,Diode_SOD-123,~,smt
186.064324,-91.862116,75.0,top,D18,,,Diode_SOD-123,~,smt
236.78827,-87.462192,105.0,top,D19,,,Diode_SOD-123,~,smt
117.042213,-56.104465,75.0,top,D2,,,Diode_SOD-123,~,smt
254.493813,-80.129815,105.0,top,D20,,,Diode_SOD-123,~,smt
272.199356,-72.797439,105.0,top,D21,,,Diode_SOD-123,~,smt
291.198995,-70.294692,105.0,top,D22,,,Diode_SOD-123,~,smt
310.740884,-70.10543,105.0,top,D23,,,Diode_SOD-123,~,smt
329.141771,-65.174927,105.0,top,D24,,,Diode_SOD-123,~,smt
88.78032,-87.975736,75.0,top,D25,,,Diode_SOD-123,~,smt
107.181207,-92.906239,75.0,top,D26,,,Diode_SOD-123,~,smt
126.723096,-93.095503,75.0,top,D27,,,Diode_SOD-123,~,smt
145.722735,-95.59825,75.0,top,D28,,,Diode_SOD-123,~,smt
163.428278,-102.930626,75.0,top,D29,,,Diode_SOD-123,~,smt
136.584102,-56.293729,75.0,top,D3,,,Diode_SOD-123,~,smt
181.133821,-110.263003,75.0,top,D30,,,Diode_SOD-123,~,smt
241.718773,-105.863079,105.0,top,D31,,,Diode_SOD-123,~,smt
259.424316,-98.530702,105.0,top,D32,,,Diode_SOD-123,~,smt
277.129859,-91.198326,105.0,top,D33,,,Diode_SOD-123,~,smt
296.129498,-88.695579,105.0,top,D34,,,Diode_SOD-123,~,smt
315.671387,-88.506317,105.0,top,D35,,,Diode_SOD-123,~,smt
334.072274,-83.575814,105.0,top,D36,,,Diode_SOD-123,~,smt
83.849817,-106.376623,75.0,top,D37,,,Diode_SOD-123,~,smt
102.250704,-111.307126,75.0,top,D38,,,Diode_SOD-123,~,smt
121.792593,-111.49639,75.0,top,D39,,,Diode_SOD-123,~,smt
155.583741,-58.796476,75.0,top,D4,,,Diode_SOD-123,~,smt
140.792232,-113.999137,75.0,top,D40,,,Diode_SOD-123,~,smt
158.497775,-121.331513,75.0,top,D41,,,Diode_SOD-123,~,smt
176.203318,-128.66389,75.0,top,D42,,,Diode_SOD-123,~,smt
246.649276,-124.263966,105.0,top,D43,,,Diode_SOD-123,~,smt
264.354819,-116.931589,105.0,top,D44,,,Diode_SOD-123,~,smt
282.060362,-109.599213,105.0,top,D45,,,Diode_SOD-123,~,smt
301.060001,-107.096466,105.0,top,D46,,,Diode_SOD-123,~,smt
320.60189,-106.907204,105.0,top,D47,,,Diode_SOD-123,~,smt
339.002777,-101.976701,105.0,top,D48,,,Diode_SOD-123,~,smt
78.919314,-124.77751,75.0,top,D49,,,Diode_SOD-123,~,smt
173.289284,-66.128852,75.0,top,D5,,,Diode_SOD-123,~,smt
97.320201,-129.708013,75.0,top,D50,,,Diode_SOD-123,~,smt
116.86209,-129.897277,75.0,top,D51,,,Diode_SOD-123,~,smt
135.861729,-132.400024,75.0,top,D52,,,Diode_SOD-123,~,smt
153.567272,-139.7324,75.0,top,D53,,,Diode_SOD-123,~,smt
171.272815,-147.064777,75.0,top,D54,,,Diode_SOD-123,~,smt
251.579779,-142.664853,105.0,top,D55,,,Diode_SOD-123,~,smt
269.285322,-135.332476,105.0,top,D56,,,Diode_SOD-123,~,smt
286.990865,-128.0001,105.0,top,D57,,,Diode_SOD-123,~,smt
305.990504,-125.497353,105.0,top,D58,,,Diode_SOD-123,~,smt
325.532393,-125.308091,105.0,top,D59,,,Diode_SOD-123,~,smt
190.994827,-73.461229,75.0,top,D6,,,Diode_SOD-123,~,smt
343.93328,-120.377588,105.0,top,D60,,,Diode_SOD-123,~,smt
190.522803,-163.987759,60.0,top,D61,,,Diode_SOD-123,~,smt
230.631481,-155.487759,120.0,top,D62,,,Diode_SOD-123,~,smt
164.568321,-170.942241,60.0,top,D63,,,Diode_SOD-123,~,smt
180.997803,-180.485543,60.0,top,D64,,,Diode_SOD-123,~,smt
197.477287,-189.942241,60.0,top,D65,,,Diode_SOD-123,~,smt
223.676999,-181.442241,120.0,top,D66,,,Diode_SOD-123,~,smt
240.156481,-171.985543,120.0,top,D67,,,Diode_SOD-123,~,smt
256.585965,-162.442241,120.0,top,D68,,,Diode_SOD-123,~,smt
211.84,-119.57,180.0,top,D69,,,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,LED,smt
231.857767,-69.061305,105.0,top,D7,,,Diode_SOD-123,~,smt
249.56331,-61.728928,105.0,top,D8,,,Diode_SOD-123,~,smt
267.268853,-54.396552,105.0,top,D9,,,Diode_SOD-123,~,smt
203.215927,-59.066454,0.0,top,J1,,,USB_C_918-418K2024S40000,USB_C_Receptacle_USB2.0_14P,tht
203.215927,-200.013857,180.0,top,J2,,,USB_C_918-418K2024S40000,USB_C_Receptacle_USB2.0_14P,tht
139.404064,-159.748732,-28.5,top,J3,,,USB3_A_Molex_48393-001,USB3_A,tht
267.02779,-159.748732,28.5,top,J4,,,USB3_A_Molex_48393-001,USB3_A,tht
206.460001,-68.85,90.0,top,R1,,,Resistor_0402,Resistor,smt
204.970001,-190.25,-90.0,top,R2,,,Resistor_0402,Resistor,smt
201.51,-72.619999,90.0,top,R3,,,Resistor_0402,Resistor,smt
201.0,-187.0,-90.0,top,R4,,,Resistor_0402,Resistor,smt
90.430956,-48.974,-15.0,top,S1,,,Hotswap_MX,~,smt
278.058122,-54.093767,15.0,top,S10,,,Hotswap_MX,~,smt
297.600011,-53.904505,15.0,top,S11,,,Hotswap_MX,~,smt
316.000898,-48.974002,15.0,top,S12,,,Hotswap_MX,~,smt
85.500453,-67.374887,-15.0,top,S13,,,Hotswap_MX,~,smt
103.90134,-72.30539,-15.0,top,S14,,,Hotswap_MX,~,smt
123.443229,-72.494654,-15.0,top,S15,,,Hotswap_MX,~,smt
142.442868,-74.997401,-15.0,top,S16,,,Hotswap_MX,~,smt
160.148411,-82.329777,-15.0,top,S17,,,Hotswap_MX,~,smt
177.853954,-89.662154,-15.0,top,S18,,,Hotswap_MX,~,smt
228.5779,-89.662154,15.0,top,S19,,,Hotswap_MX,~,smt
108.831843,-53.904503,-15.0,top,S2,,,Hotswap_MX,~,smt
246.283443,-82.329777,15.0,top,S20,,,Hotswap_MX,~,smt
263.988986,-74.997401,15.0,top,S21,,,Hotswap_MX,~,smt
282.988625,-72.494654,15.0,top,S22,,,Hotswap_MX,~,smt
302.530514,-72.305392,15.0,top,S23,,,Hotswap_MX,~,smt
320.931401,-67.374889,15.0,top,S24,,,Hotswap_MX,~,smt
80.56995,-85.775774,-15.0,top,S25,,,Hotswap_MX,~,smt
98.970837,-90.706277,-15.0,top,S26,,,Hotswap_MX,~,smt
118.512726,-90.895541,-15.0,top,S27,,,Hotswap_MX,~,smt
137.512365,-93.398288,-15.0,top,S28,,,Hotswap_MX,~,smt
155.217908,-100.730664,-15.0,top,S29,,,Hotswap_MX,~,smt
128.373732,-54.093767,-15.0,top,S3,,,Hotswap_MX,~,smt
172.923451,-108.063041,-15.0,top,S30,,,Hotswap_MX,~,smt
233.508403,-108.063041,15.0,top,S31,,,Hotswap_MX,~,smt
251.213946,-100.730664,15.0,top,S32,,,Hotswap_MX,~,smt
268.919489,-93.398288,15.0,top,S33,,,Hotswap_MX,~,smt
287.919128,-90.895541,15.0,top,S34,,,Hotswap_MX,~,smt
307.461017,-90.706279,15.0,top,S35,,,Hotswap_MX,~,smt
