Designator,Mid X,Mid Y,Rotation,Layer
C1,212.21,-126.145,270.0,top
C2,212.21,-122.845,90.0,top
D1,98.641326,-51.173962,75.0,top
D10,286.268492,-51.893805,105.0,top
D11,305.810381,-51.704543,105.0,top
D12,324.211268,-46.77404,105.0,top
D13,93.710823,-69.574849,75.0,top
D14,112.11171,-74.505352,75.0,top
D15,131.653599,-74.694616,75.0,top
D16,150.653238,-77.197363,75.0,top
D17,168.358781,-84.529739,75.0,top
D18,186.064324,-91.862116,75.0,top
D19,236.78827,-87.462192,105.0,top
D2,117.042213,-56.104465,75.0,top
D20,254.493813,-80.129815,105.0,top
D21,272.199356,-72.797439,105.0,top
D22,291.198995,-70.294692,105.0,top
D23,310.740884,-70.10543,105.0,top
D24,329.141771,-65.174927,105.0,top
D25,88.78032,-87.975736,75.0,top
D26,107.181207,-92.906239,75.0,top
D27,126.723096,-93.095503,75.0,top
D28,145.722735,-95.59825,75.0,top
D29,163.428278,-102.930626,75.0,top
D3,136.584102,-56.293729,75.0,top
D30,181.133821,-110.263003,75.0,top
D31,241.718773,-105.863079,105.0,top
D32,259.424316,-98.530702,105.0,top
D33,277.129859,-91.198326,105.0,top
D34,296.129498,-88.695579,105.0,top
D35,315.671387,-88.506317,105.0,top
D36,334.072274,-83.575814,105.0,top
D37,83.849817,-106.376623,75.0,top
D38,102.250704,-111.307126,75.0,top
D39,121.792593,-111.49639,75.0,top
D4,155.583741,-58.796476,75.0,top
D40,140.792232,-113.999137,75.0,top
D41,158.497775,-121.331513,75.0,top
D42,176.203318,-128.66389,75.0,top
D43,246.649276,-124.263966,105.0,top
D44,264.354819,-116.931589,105.0,top
D45,282.060362,-109.599213,105.0,top
D46,301.060001,-107.096466,105.0,top
D47,320.60189,-106.907204,105.0,top
D48,339.002777,-101.976701,105.0,top
D49,78.919314,-124.77751,75.0,top
D5,173.289284,-66.128852,75.0,top
D50,97.320201,-129.708013,75.0,top
D51,116.86209,-129.897277,75.0,top
D52,135.861729,-132.400024,75.0,top
D53,153.567272,-139.7324,75.0,top
D54,171.272815,-147.064777,75.0,top
D55,251.579779,-142.664853,105.0,top
D56,269.285322,-135.332476,105.0,top
D57,286.990865,-128.0001,105.0,top
D58,305.990504,-125.497353,105.0,top
D59,325.532393,-125.308091,105.0,top
D6,190.994827,-73.461229,75.0,top
D60,343.93328,-120.377588,105.0,top
D61,190.522803,-163.987759,60.0,top
D62,230.631481,-155.487759,120.0,top
D63,164.568321,-170.942241,60.0,top
D64,180.997803,-180.485543,60.0,top
D65,197.477287,-189.942241,60.0,top
D66,223.676999,-181.442241,120.0,top
D67,240.156481,-171.985543,120.0,top
D68,256.585965,-162.442241,120.0,top
D69,212.405,-119.13,180.0,top
D7,231.857767,-69.061305,105.0,top
D8,249.56331,-61.728928,105.0,top
D9,267.268853,-54.396552,105.0,top
J1,203.215927,-63.266454,0.0,top
J2,203.215927,-195.813856,180.0,top
J3,140.19137595442834,-158.29868376410775,331.5,top
J4,266.2404776439133,-158.29868512008363,28.5,top
R1,208.39,-71.21,90.0,top
R2,204.970001,-190.25,270.0,top
R3,201.51,-72.619999,90.0,top
R4,201.0,-187.0,270.0,top
S1,90.430956,-48.974,345.0,top
S10,278.058122,-54.093767,15.0,top
S11,297.600011,-53.904505,15.0,top
S12,316.000898,-48.974002,15.0,top
S13,85.500453,-67.374887,345.0,top
S14,103.90134,-72.30539,345.0,top
S15,123.443229,-72.494654,345.0,top
S16,142.442868,-74.997401,345.0,top
S17,160.148411,-82.329777,345.0,top
S18,177.853954,-89.662154,345.0,top
S19,228.5779,-89.662154,15.0,top
S2,108.831843,-53.904503,345.0,top
